category,key,display_name,filename,folder,already_exists,recommended_size_px,use_in_app,image_prompt
CROP,onion,Onion,onion.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up photo of two fresh white-purple onions with papery outer skin and trimmed roots, placed on a light wooden surface, soft natural light, clean food photography, 400x400 square crop"
CROP,wheat,Wheat,wheat.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / CropScan / Market,"Hyper-realistic macro photo of a golden wheat ear (spike) with long awns against a blurred golden wheat field horizon, warm afternoon sunlight, India farming context, 400x400 square crop"
CROP,rice,Rice,rice.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / Market,"Hyper-realistic close-up of a green paddy rice panicle with full grains, wet lush rice paddy field in background (blurred), soft green tones, Indian Kharif season feel, 400x400 square crop"
CROP,cotton,Cotton,cotton.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore,"Hyper-realistic photo of an open cotton boll with fluffy white fibres bursting out, green cotton plant and other bolls softly blurred in the background, bright natural daylight, Indian farm, 400x400 square crop"
CROP,maize,Maize / Corn,maize.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up of a fresh green maize (corn) cob partially peeled to reveal yellow kernels, few green husks and corn silk visible, clean studio-style light, 400x400 square crop"
CROP,potato,Potato,potato.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic photo of 3–4 freshly harvested potatoes with soil still on skin, earthy textures visible, placed on dark soil or wooden board, rustic Indian farm feel, warm light, 400x400 square crop"
CROP,sugarcane,Sugarcane,sugarcane.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / Market,"Hyper-realistic close-up of fresh-cut sugarcane stalks bundle, cross-section showing white flesh and juicy texture, purple-green outer rind, tropical Indian setting, natural daylight, 400x400 square crop"
CROP,soybean,Soybean,soybean.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / Market,"Hyper-realistic photo of a soybean plant branch with mature pods, pods showing slight yellowing indicating harvest readiness, green leaves, field background blurred, Indian Kharif farm, 400x400 square crop"
CROP,groundnut,Groundnut / Peanut,groundnut.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic photo of freshly uprooted groundnut plant with peanut pods clinging to the roots, dark reddish soil, rustic Indian farm, warm sunlight, 400x400 square crop"
CROP,chilli,Chilli / Red Pepper,chilli.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up of bright red ripe chilli peppers hanging on a plant, vivid red colour, green leaves and stem visible, Indian field, sunlit, macro detail on texture, 400x400 square"
CROP,brinjal,Brinjal / Eggplant,brinjal.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up of glossy dark purple brinjal (eggplant) on the plant, two fruits, bright green calyx, lush green plant behind blurred, Indian summer farm, 400x400 square"
CROP,okra,Okra / Lady Finger,okra.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up of fresh tender green okra (bhindi/lady finger) pods on plant, ridged green texture, water droplets, tropical Indian farm, morning light, 400x400 square crop"
CROP,cauliflower,Cauliflower,cauliflower.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic photo of a large fresh white cauliflower head wrapped in green outer leaves, crisp cool-weather vegetable, soft diffused light, light neutral background, Indian Rabi crop, 400x400 square"
CROP,cabbage,Cabbage,cabbage.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / CropScan,"Hyper-realistic close-up of a fresh round green cabbage head with densely packed layered leaves, outer leaves slightly ruffled, soft light, Indian Rabi farm crop, clean background, 400x400 square"
CROP,mango,Mango,mango.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / Market,"Hyper-realistic close-up of 2 ripe Alphonso or Kesar mangoes with yellow-orange blush skin, soft light, tropical Indian orchard bokeh background, warm colours, 400x400 square crop"
CROP,grape,Grape,grape.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / Market,"Hyper-realistic close-up of a bunch of deep purple/black Nashik grapes hanging on vine with green leaves, glossy surface, soft bokeh vineyard background, Maharashtra India feel, 400x400 square"
CROP,pomegranate,Pomegranate,pomegranate.jpeg,assets/crops/,YES,400x400,FarmProfileBanner / AgriStore / Market,"Hyper-realistic close-up of one ripe pomegranate fruit, one cut open showing jewel-like red arils, on a light surface, warm daylight, Indian Deccan farm feel, 400x400 square crop"
